TWLVC1|20260921|202609211813|1870|code,fgn,fgnD,inv,invD,dlrH,mgn,mgnChg,shrt,sr,big,bigChg,small,smallChg,holders,holdersChg,mgnRate,mgnCost,mgnConf
2342,69.006,2,0,0,1.014,,,,,32.65,,56.70,,142082,,,,
2344,-23211.982,-1,-815.22,-3,-226.336,,,,,64.01,,27.89,,585563,,,,
2345,182.324,1,-778.58,-4,14.491,,,,,56.34,,15.33,,100854,,,,
2347,-485.858,-1,-31,-1,-3.032,,,,,84.90,,8.19,,40809,,,,
2348,12.78,1,0,0,-4.162,,,,,65.24,,24.85,,25141,,,,
2349,412.226,1,0,0,0,,,,,21.72,,58.28,,143287,,,,
2351,-236.8,-2,0,0,-8.425,,,,,68.67,,16.01,,19961,,,,
2352,2916.78,4,0,0,38.009,,,,,43.47,,42.42,,192953,,,,
2353,3290.238,1,44.227,16,-757.071,,,,,33.85,,52.36,,389687,,,,
2354,-2359.14,-2,3,1,-123.324,,,,,46.98,,44.42,,185134,,,,
2355,243,1,0,0,-78.141,,,,,33.55,,50.20,,76103,,,,
2356,-988.043,-5,-518.874,-2,38.952,,,,,70.74,,22.50,,246716,,,,
2357,-561.949,-1,-7.202,-3,-7.57,,,,,65.92,,16.95,,112376,,,,
2359,-5,-11,0,0,5.878,,,,,39.20,,47.71,,63619,,,,
2360,594.191,1,-217.075,-1,-37.829,,,,,53.01,,13.56,,32870,,,,
2362,10.498,4,0,0,0,,,,,77.15,,14.92,,31275,,,,
2363,3954.18,4,0,0,665.917,,,,,30.96,,56.97,,129468,,,,
2364,84.217,4,0,0,0,,,,,51.35,,36.89,,56110,,,,
2365,358.227,1,0,0,0,,,,,19.65,,70.11,,98404,,,,
2367,551.118,2,0,0,37.541,,,,,25.15,,65.22,,189659,,,,
2368,-1587.862,-1,-134.046,-1,118.522,,,,,68.12,,15.31,,112573,,,,
2369,-1943.913,-3,0,0,26.341,,,,,26.31,,62.65,,127578,,,,
