TWLV1|20260923|202609232210|1958|code,name,mkt,high,low,close,chg,lot,wan,kshares,open
6829,千附精密,2,212.5,207,207,-3,672,14035,59169,210
6840,東研信超,2,106.5,103,104.5,0,269,2814,30767,106
6841,長佳智能,2,53.6,53,53.5,-0.1,65,346,95223,53.2
6843,進典,2,38.85,38.3,38.7,-0.2,8,31,33304,38.8
6844,諾貝兒,2,56.9,56.2,56.9,0.7,12,68,37428,56.2
6846,綠茵,2,59,57.5,58.3,0.1,4,23,27066,59
6855,數泓科,2,116,111,116,4,5,56,23250,112
6856,鑫傳,2,41.85,41.1,41.85,0.05,6,25,28200,41.1
6859,伯特光,2,126,118.5,120.5,3,98,1196,41589,119
6865,偉康科技,2,28.2,27.45,28.2,0.7,23,63,15841,27.5
6870,騰雲,2,328.5,298.5,328.5,29.5,1125,36826,28318,306.5
6872,浩宇生醫,2,24.45,23,23.2,-0.6,215,507,70751,24.05
6874,倍力,2,69.9,68.6,69.4,0.6,8,55,22000,68.8
6875,國邑*,2,33.3,31.8,31.85,-0.95,249,803,129183,32.75
6877,鏵友益,2,127.5,123.5,126.5,3,103,1295,47167,125
6894,衛司特,2,372.5,367,372.5,2.5,33,1221,23800,371.5
6895,宏碩系統,2,147,141,143,0,13,186,34100,147
6899,創為精密,2,50.1,49.3,49.3,-0.9,15,75,42398,50.1
6903,巨漢,2,313,303.5,308.5,5,230,7101,66676,305
6904,伯鑫,2,120.5,120.5,120.5,0.5,1,12,18500,120.5
6907,雅特力-KY,2,187.5,183.5,184.5,-3,617,11434,62562,187.5
6910,德鴻,2,25.8,25.45,25.5,-0.15,8,20,30521,25.7
6913,鴻呈,2,130.5,128,128,-1,204,2636,43849,130.5
6922,宸曜,2,208,199.5,204.5,0.5,94,1902,27155,204.5
6925,意藍,2,62,56.7,62,5.6,452,2742,20000,56.8
6929,佑全,2,22.05,20.85,22.05,0.05,14,31,45090,22.05
6945,圓祥生技,2,137.5,128,137,2,463,6184,97531,135
6953,家碩,2,242,234,235.5,-2,13,306,30015,242
6961,旅天下,2,47.5,47.1,47.3,-0.2,20,95,26834,47.4
