code,big,small,holders
1107,99.70,0.29,3432
1108,74.79,15.42,12979
1109,72.96,14.05,12069
1110,91.42,3.24,5172
1113O,0.00,76.77,178
1113R,0.00,81.83,381
1201,59.24,28.10,87641
1203,86.76,5.75,55158
1204,31.80,46.69,3513
1207,75.31,18.66,46638
1210,60.94,29.23,100064
1212,35.63,40.46,30359
1213,77.04,14.34,6553
1215,52.79,38.51,97690
1216,86.19,7.91,142199
1217,54.12,30.39,137585
1218,63.30,25.45,82575
1219,59.11,27.94,52865
1220,60.48,22.50,47363
1221,25.87,51.57,18642
1224,82.38,7.55,3610
1225,86.76,7.10,43835
1227,64.33,27.88,53310
1228,12.20,44.74,1579
1229,63.08,26.99,103120
1231,63.62,30.92,36321
1232,72.04,22.15,16777
1233,68.44,12.85,10243
1234,74.29,11.04,24080
1235,95.42,2.27,2914
1236,78.77,11.72,11601
1238,8.57,70.50,2038
1240,49.16,18.62,3020
1256,47.11,28.74,6298
1259,71.16,15.17,16179
1260,70.59,11.43,1327
1264,24.84,36.86,9296
1268,72.16,16.67,3503
1269,72.54,10.39,728
1271,64.42,15.97,2879
1293,42.39,11.50,396
1294,44.00,24.85,4543
1295,44.91,30.97,3292
1301,72.59,20.17,293131
1303,83.84,10.30,280958
1304,57.82,31.79,99239
1305,48.61,39.22,72181
1306,19.41,62.47,6129
1307,77.30,14.78,18031
1308,49.95,38.37,75807
1309,43.94,45.55,78585
1310,24.82,57.02,105143
1312,56.14,31.59,139255
1312A,21.40,32.77,1269
1313,63.93,23.90,61271
1314,34.43,42.85,299289
1315,71.05,12.14,5801
1316,33.34,44.59,61081
1319,76.04,16.43,31855
1321,53.63,11.83,3961
1323,61.23,21.59,14490
1324,60.81,29.13,23390
1325,44.85,45.23,36104
1326,80.42,13.23,183034
1333,43.03,31.05,15926
1336,38.52,32.18,12361
1337,39.10,40.88,52353
1338,34.27,43.83,55985
1339,72.42,21.38,7271
1340,28.15,51.83,61652
1341,75.97,8.50,9701
1342,51.25,32.57,8697
1343,42.18,18.59,1206
1402,87.04,7.91,88055
1407,28.87,53.08,162025
1407A,52.88,39.88,4916
1408,12.54,63.46,70677
1409,57.87,31.80,155997
1410,68.39,13.52,6632
1413,69.55,15.34,8456
1414,82.85,8.48,26845
1416,50.65,31.03,45300
1417,48.25,30.92,55510
1418,58.96,15.91,30556
1419,85.53,5.33,16817
1423,74.48,10.73,18131
1432,53.30,41.17,257251
1434,68.61,21.26,63998
1435,93.05,4.11,33048
1436,72.04,18.86,14358
1437,67.32,12.46,8493
1438,76.79,11.64,5036
1439,77.15,10.29,4332
1440,73.51,15.68,93642
1441,58.35,30.18,14428
1442,79.25,7.28,8484
1443,82.69,6.60,15690
1444,59.93,28.39,60383
1445,59.26,18.44,11835
1446,62.65,24.01,8012
1447,65.97,23.25,42179
1449,32.57,49.47,45130
1450,21.04,58.64,15114
1451,56.67,25.69,16673
1452,38.80,36.60,47005
1453,73.70,20.75,14000
1454,77.26,11.88,13767
1455,63.09,26.38,34647
1456,80.69,8.12,4622
1457,68.29,17.44,16520
1458,51.07,29.45,21139
1459,78.33,9.55,12233
1460,65.23,18.99,23802
1462,34.47,38.66,61075
1463,75.17,12.57,33379
1464,54.35,27.60,63537
1465,62.34,20.22,10185
1466,62.10,21.26,21699
1467,59.72,23.35,17847
1468,96.81,1.40,1324
1469,87.63,1.03,336
1470,70.27,5.08,1192
1471,16.98,65.27,56213
1472,69.47,8.48,3591
1473,69.45,19.88,12546
1474,53.32,29.42,16291
1475,69.00,11.22,2289
1476,71.59,14.83,22364
1477,50.64,29.46,30897
1480,94.48,0.82,373
1491,46.30,20.43,1716
1492O,0.00,100.00,5
1492R,0.00,99.98,86
1498,0.00,12.45,13
1503,70.81,21.71,80008
1504,67.85,24.99,200866
1506,71.35,13.94,21292
1507,100.00,0.00,1
1512,47.97,32.75,19976
1513,41.08,48.65,155957
1514,33.36,51.96,101818
1515,40.33,42.95,24623
1516,58.33,26.78,43398
1517,44.10,43.18,46234
1519,68.60,19.80,85985
1521,66.44,27.08,23430
1522,52.55,36.40,30055
1522A,80.53,8.39,1381
1524,35.53,52.10,45381
1525,86.50,9.22,3180
1526,29.94,50.59,52358
1527,29.15,56.51,64314
1528,27.74,63.81,93784
1529,45.00,43.51,30102
1530,70.06,20.40,10722
1531,54.14,22.27,12798
1532,58.67,23.07,19329
1533,52.11,30.68,9964
1534,35.44,40.53,4100
1535,75.37,20.95,9834
1536,27.60,57.38,83616
1537,43.01,41.68,15850
1538,70.77,14.58,7609
1539,60.51,30.84,5268
1540,23.21,56.29,41185
1541,79.46,11.18,2430
1553,0.00,99.96,30
1557,0.00,69.39,113
1558,16.74,44.14,27471
1560,50.31,20.41,22354
1563,36.51,36.02,15023
1565,8.40,68.69,37597
1568,57.23,26.68,9650
1569,42.66,34.71,24215
1570,44.49,30.71,34879
1571,0.00,7.29,9
1573,0.00,13.92,17
1575,0.00,99.99,9
1577,0.00,99.99,19
1580,29.88,52.12,27747
1582,25.78,58.11,66499
1583,89.51,6.71,2501
1584,36.68,47.83,56092
1585,46.04,17.55,934
1586,61.20,19.90,11992
1587,37.91,41.99,11841
1589,21.00,57.94,43147
1590,53.39,10.65,6691
1591,8.04,60.76,32399
1592,18.10,55.84,6278
1593,35.43,35.72,3304
1594,75.40,10.21,647
1595,36.44,35.74,9353
1597,37.11,40.34,20208
1598,52.73,29.35,10593
1599,56.85,27.65,11800
1601,6.31,67.70,16637
1602,9.57,82.34,273804
1603,69.49,21.90,13472
1604,52.60,32.25,101746
1605,72.80,20.46,249953
1606,9.55,67.72,77429
1608,63.28,28.39,48993
1609,28.49,59.42,196149
1611,43.93,39.33,87093
1612,55.51,31.91,37453
1613,47.38,29.44,22765
1614,75.52,7.82,5188
1615,76.85,14.74,8688
1616,56.52,32.73,14652
1617,69.13,18.99,11771
1618,53.37,36.16,22113
1623,73.47,17.74,5840
1626,60.15,18.69,9861
1702,54.85,36.73,64005
1707,40.62,38.20,68792
1708,33.94,53.68,86040
1709,64.24,18.90,40074
1710,57.41,28.95,59346
1711,39.45,46.40,97750
1712,47.63,32.57,82461
1713,67.70,16.47,23542
1714,46.81,37.70,107696
1717,60.90,26.52,100004
1718,47.80,38.70,190308
1720,61.50,28.13,16070
1721,31.59,53.52,67764
1722,58.23,27.71,122652
1723,46.93,41.20,62621
1725,93.10,4.47,3605
1726,83.56,10.93,9493
1727,57.82,27.34,17559
1729,85.84,6.78,4208
1730,53.73,38.67,10055
1731,51.75,34.12,18419
1732,44.13,45.82,38016
1733,31.90,43.80,38239
1734,41.50,37.82,70396
1735,77.82,17.36,8359
1736,83.16,7.01,7782
1737,59.30,30.46,74632
1742,72.77,11.05,11289
1748,36.48,48.25,709
1748R,0.00,76.90,105
1752,58.31,29.32,8130
1760,33.89,45.23,38956
1762,36.10,43.40,53908
1763,100.00,0.00,1
1764,100.00,0.00,1
1765,100.00,0.00,1
1766,100.00,0.00,1
1773,68.31,18.81,17029
1775,100.00,0.00,1
1776,44.14,22.60,3229
1777,54.22,31.79,3341
1780,63.16,14.42,2596
1781,23.54,44.53,35685
1783,56.10,25.32,38045
1784,18.13,51.24,34518
1785,36.49,48.76,133137
1786,44.39,37.27,44820
1788,40.09,37.21,7742
1789,74.61,16.49,24633
1794,0.00,62.59,131
1795,52.28,37.43,41073
1796,45.18,26.58,7591
