code,big,small,holders
00715L,49.51,31.12,3562
00717,18.07,58.42,7497
00719B,23.55,49.02,14954
00720B,62.47,23.83,77281
00722B,89.17,8.56,13421
00723B,99.65,0.13,470
00724B,97.53,1.85,6152
00725B,80.80,12.69,41000
00726B,97.65,1.42,1712
00727B,87.58,8.27,724
00728,0.00,86.72,9903
00730,13.74,79.17,12951
00731,0.00,76.23,8160
00733,11.66,80.99,20498
00734B,80.06,12.34,519
00735,15.12,69.16,30602
00736,45.67,21.65,490
00737,9.66,76.38,5442
00738U,14.38,63.59,32169
00739,19.59,47.26,1955
00740B,96.28,2.46,5992
00741B,37.85,40.65,1131
00746B,99.43,0.26,1311
00749B,99.75,0.08,193
00750B,99.32,0.25,77
00751B,72.87,16.49,66941
00752,26.78,53.75,17114
00753L,33.72,26.48,11693
00754B,99.75,0.15,462
00755B,97.72,1.72,1004
00756B,97.31,1.82,2317
00757,27.50,60.41,67593
00758B,90.49,5.32,121
00759B,98.89,0.58,119
00760B,99.16,0.68,620
00761B,98.45,1.06,3419
00762,14.68,73.50,22280
00763U,47.40,37.49,3723
00764B,93.62,4.67,8264
00768B,97.64,1.33,1757
00770,7.31,76.37,22138
00771,11.94,73.75,2065
00772B,78.75,14.23,40415
00773B,95.21,3.43,8861
00775B,99.23,0.17,183
00777B,99.88,0.02,222
00778B,99.92,0.01,184
00779B,99.50,0.26,638
00780B,96.87,2.37,1283
00781B,16.97,55.96,735
00782B,14.46,60.70,1257
00783,0.00,61.48,796
00785B,99.70,0.06,238
00786B,15.33,53.85,1272
00787B,17.68,51.22,1001
00788B,15.58,56.31,1447
00789B,99.07,0.35,354
00791B,99.68,0.12,100
00792B,99.81,0.07,450
00793B,0.00,62.95,260
00795B,51.92,30.54,37035
00799B,11.76,61.85,1652
00830,21.17,68.32,180272
00834B,94.36,1.72,135
00836B,99.33,0.28,432
00840B,99.27,0.49,91
00841B,98.66,0.52,121
00842B,33.10,39.28,1013
00844B,98.91,0.63,296
00845B,99.34,0.24,219
00846B,98.18,1.39,255
00847B,0.00,37.92,302
00848B,99.21,0.32,154
00849B,99.74,0.02,107
00850,15.30,77.54,80113
00851,27.87,58.65,2104
00852L,41.93,43.01,619
00853B,89.53,7.62,2328
00856B,59.57,26.24,409
00857B,55.23,30.11,15637
00858,13.45,69.53,18787
00859B,14.55,59.99,2046
00860B,0.00,90.23,369
00861,3.72,88.54,18327
00862B,98.33,1.37,1495
00863B,99.51,0.24,338
00864B,26.88,41.62,3877
00865B,23.71,45.55,10437
00867B,99.72,0.10,212
00870B,99.43,0.34,312
00875,0.00,73.17,7018
00876,24.95,68.53,22275
00877,11.44,62.89,13451
00878,8.79,75.08,1671493
00881,14.71,75.01,403479
00882,17.67,49.61,83089
00884B,98.78,0.64,211
00885,10.91,64.71,48127
00886,0.00,74.01,1181
00887,19.36,47.91,20456
00888,10.14,81.57,90730
00890B,65.70,24.79,700
00891,12.01,73.97,187915
00892,15.26,74.20,45612
00893,5.36,83.93,56297
00894,11.97,78.39,26061
00895,8.77,83.68,28725
00896,6.68,82.61,62149
00897,14.79,61.54,9893
00898,8.32,67.17,8385
00899,0.00,81.69,3597
00900,12.94,72.51,128065
00901,6.66,80.79,11567
00902,12.37,69.02,17946
00903,7.27,79.79,7006
00904,6.98,77.65,23909
00905,5.86,82.72,44351
00907,11.73,77.11,20043
00908,24.69,52.52,2708
00909,11.46,77.00,25024
00910,3.38,84.55,37894
00911,10.00,79.47,12659
00912,19.34,71.18,8287
00913,17.53,70.33,12072
00915,15.31,78.61,70880
00916,7.86,77.96,19075
00917,5.11,79.91,12932
00918,8.21,74.60,374480
00919,8.02,73.10,1466235
00920,8.03,71.21,6253
00921,2.50,88.08,10181
00922,28.88,60.48,186910
00923,13.69,77.95,122613
00924,19.68,70.03,54987
00926,52.31,40.73,9191
00927,10.35,76.15,140300
00928,17.54,68.27,7145
00929,8.26,75.74,459684
00930,5.11,86.37,22995
00931B,75.24,17.49,33506
00932,8.88,80.87,13029
00933B,73.53,15.22,77897
00934,8.51,82.37,49821
00935,20.43,68.80,123252
00936,9.20,82.18,22124
00937B,51.73,20.48,210191
00938,45.47,48.46,6456
00939,4.84,81.57,102752
00940,8.58,70.37,311799
00941,9.94,76.73,46825
00942B,88.99,6.83,9750
00943,25.46,64.72,4217
00944,6.96,83.49,7817
00945B,33.99,36.02,18703
00946,18.11,68.64,35649
00947,24.19,63.06,36525
00948B,79.24,10.00,26280
00949,14.65,70.07,17265
00950B,89.75,5.01,12046
00951,25.84,55.14,15691
00952,8.49,73.98,22729
00953B,38.86,21.97,52223
00954,16.14,64.08,10984
00955,27.68,54.79,35310
00956,11.87,69.93,3251
00957B,43.52,30.19,3923
00958B,14.31,53.88,4315
00959B,41.37,30.76,9142
00960,17.79,74.99,12237
00961,4.55,68.47,61109
00962,3.18,78.48,10800
00963,20.30,44.96,5273
00964,8.22,63.30,4620
00965,43.46,45.62,33177
00966B,32.15,48.27,3881
00967B,62.44,18.15,2659
00968B,63.68,19.08,8176
00969B,59.23,17.91,2072
00970B,53.90,25.34,5822
00971,11.64,73.00,6621
00972,33.56,56.45,1628
009800,25.64,53.72,19702
009801,11.82,65.87,8639
009802,15.23,68.79,41308
009803,10.76,72.37,30359
009804,6.62,75.32,17808
009805,13.92,67.68,54796
009806,38.26,36.27,1083
009807,33.65,39.94,1150
009808,7.78,73.10,4249
009809,33.68,50.51,2528
00980A,23.18,64.70,70259
00980B,39.85,37.23,1505
00980D,28.67,42.18,3411
00980T,49.03,36.84,3166
009810,23.09,52.66,1926
009811,11.14,68.82,22675
009812,26.42,51.62,5895
009813,18.04,63.49,22953
009814,16.26,65.33,13700
009815,16.60,63.90,29217
009816,13.89,62.82,918275
009817,15.00,55.83,10074
009818,6.49,78.07,4807
009819,8.34,76.06,51277
00981A,18.20,63.22,945851
00981B,34.02,21.60,16861
00981D,31.47,28.42,8507
00981T,23.52,39.74,8240
009820,30.93,43.42,34869
009821,7.39,78.90,55043
009822,9.56,70.70,4788
009823,13.76,71.49,32946
009824,9.96,73.18,44254
009825,5.15,66.78,4402
009826,17.73,55.28,61908
009827,10.63,66.25,15643
009828,28.05,59.06,57368
009829,38.34,38.84,13113
00982A,10.74,72.47,177169
00982B,53.33,23.03,764
00982D,29.05,45.54,2802
00982T,0.00,75.33,1901
00983A,18.27,67.32,8439
00983B,49.00,26.11,779
00983D,11.23,43.02,3947
00984A,13.21,74.45,61880
00984B,27.73,41.90,3431
00984D,26.53,26.76,15172
00985A,14.33,71.69,45633
00985B,54.26,18.39,8782
00985D,43.40,27.02,2437
00986A,12.03,72.04,4655
00986B,73.57,17.11,387
00986D,40.71,27.93,2364
00987A,12.43,74.81,16818
00987B,40.95,27.76,2130
00987D,72.15,19.90,1652
00988A,13.88,64.80,228230
00988B,17.97,47.71,5406
00989A,11.65,68.88,6584
00989B,25.24,38.63,2674
00990A,26.22,49.43,120134
00990B,24.52,45.51,3446
00991A,16.28,64.72,330841
00991B,97.63,1.00,402
00992A,13.90,67.57,174843
00993A,16.45,64.44,45821
00994A,13.84,67.53,27616
00995A,13.62,71.93,23763
00996A,18.18,66.89,21623
00997A,10.92,66.27,66462
00998A,25.44,58.23,24867
00999A,7.97,76.13,86186
01001T,90.03,3.49,1357
01002T,91.28,3.47,3246
01004T,90.31,3.00,1243
01007T,89.64,3.76,1821
01009T,85.59,5.04,956
01010T,98.12,0.50,844
1101,51.11,35.67,512238
1101B,91.22,4.36,7411
1102,79.79,13.82,100836
1103,76.76,14.10,74271
1104,67.45,19.73,56147
1107,99.70,0.29,3432
1108,74.77,15.38,12963
1109,72.97,14.05,12060
1110,91.42,3.25,5190
1113O,0.00,76.77,178
1113R,0.00,81.83,381
1201,58.53,28.54,87784
1203,86.76,5.78,55148
1204,31.80,46.69,3513
1207,75.31,18.66,46627
1210,61.14,29.11,99900
1212,35.63,40.46,30356
1213,77.03,14.34,6543
1215,52.11,38.89,97993
1216,86.12,7.96,142311
1217,54.02,30.39,137477
1218,62.85,25.46,82478
1219,59.11,27.90,52828
1220,60.48,22.47,47362
1221,25.90,51.63,18640
1224,82.38,7.55,3610
1225,86.77,7.09,43867
1227,64.36,27.84,53276
1228,12.20,44.74,1579
1229,63.02,27.02,103148
1231,63.66,30.82,36250
1232,72.04,22.18,16730
1233,68.50,12.81,10238
1234,74.28,11.04,24061
1235,95.42,2.30,2940
1236,78.84,11.71,11588
1238,8.57,70.49,2037
1240,49.15,17.84,3040
1256,47.11,28.77,6285
1259,71.46,15.64,16139
1260,70.59,11.42,1336
1264,24.84,36.84,9287
1268,72.16,16.66,3496
1269,72.54,10.38,726
1271,64.43,15.93,2878
1293,42.39,11.50,396
1294,44.00,24.85,4531
1295,44.94,30.93,3289
1301,72.55,20.19,292897
1303,83.28,10.78,297086
1304,57.98,31.82,99104
1305,48.70,39.23,72133
1306,19.41,62.47,6128
1307,77.28,14.78,18010
1308,49.93,38.32,75700
1309,43.92,45.68,78491
1310,24.87,56.78,104976
1312,56.67,31.30,137955
1312A,21.40,32.15,1263
1313,64.02,23.83,60990
1314,34.12,42.96,299056
1315,70.44,12.07,5769
1316,33.37,44.74,61059
1319,75.94,16.50,31752
1321,53.64,11.77,3963
1323,61.23,21.57,14542
1324,60.81,29.16,23378
1325,44.85,45.03,36103
1326,80.19,13.44,184748
1333,43.03,31.05,15925
1336,38.52,32.10,12352
1337,39.13,40.90,52317
1338,34.24,43.43,55972
1339,72.45,21.30,7273
1340,28.15,51.80,61597
1341,75.97,8.49,9691
1342,51.25,33.25,8954
1343,42.18,18.59,1198
1402,86.96,7.93,88095
1407,28.88,53.08,162001
1407A,52.88,39.88,4916
1408,12.54,63.44,70663
1409,57.40,32.04,155658
1410,68.40,13.50,6628
1413,69.55,15.36,8454
1414,82.86,8.50,26866
1416,50.33,30.95,45264
1417,48.26,30.88,55493
1418,58.96,16.11,30546
1419,85.56,5.31,16820
1423,74.46,10.72,18119
1432,53.30,41.03,257057
1434,68.84,21.24,63854
1435,93.04,4.10,33029
1436,72.05,18.90,14348
1437,67.41,12.32,8475
1438,76.81,11.74,5052
1439,77.19,10.28,4338
1440,73.49,15.67,93526
1441,100.00,0.00,1
1441O,58.35,30.18,14428
1442,78.59,7.76,8791
1443,82.70,6.59,15685
1444,59.95,28.40,60223
1445,59.26,18.29,11822
1446,62.71,23.68,7987
1447,65.98,23.16,41900
1449,32.28,48.93,45021
1450,21.04,58.64,15114
1451,56.67,25.70,16666
1452,38.86,36.53,46995
1453,74.47,20.27,13986
1454,77.24,11.87,13758
1455,63.06,26.37,34570
1456,80.66,8.11,4621
1457,68.30,17.41,16504
1458,51.07,29.45,21132
1459,78.40,9.43,12209
1460,65.23,18.95,23740
1462,34.47,38.66,61061
1463,75.22,12.61,33372
1464,54.38,27.56,63545
1465,62.34,20.17,10174
1466,62.13,21.25,21667
1467,59.75,23.33,17821
1468,96.81,1.40,1322
1469,87.63,1.03,336
1470,70.27,5.08,1190
1471,17.00,65.23,56149
1472,69.47,8.48,3592
1473,69.35,19.88,12541
1474,53.34,29.44,16272
1475,69.00,11.24,2285
1476,71.01,15.39,23072
1477,50.58,29.76,31046
1480,94.48,0.82,373
1491,46.30,20.43,1716
1492O,0.00,100.00,5
1492R,0.00,99.98,86
1498,0.00,12.45,13
1503,70.62,21.78,79968
1504,67.70,25.21,201453
1506,71.35,13.98,21297
1507,100.00,0.00,1
1512,47.96,32.70,19950
1513,41.49,48.56,155285
1514,34.75,51.42,101188
1515,40.33,42.73,24480
1516,58.33,27.32,42095
1517,44.11,43.08,46174
1519,68.87,19.66,85527
1521,66.44,26.94,23452
1522,52.55,36.39,29980
1522A,80.53,8.68,1371
1524,35.53,52.06,45281
1525,86.50,9.22,3178
1526,29.94,50.56,52369
1527,29.23,56.33,64266
1528,28.30,63.13,93722
1529,44.81,43.41,30851
1530,70.06,20.39,10717
1531,53.76,22.29,12777
1532,58.78,23.05,19290
1533,52.11,30.83,9968
1534,35.44,40.53,4100
1535,75.40,21.02,9805
1536,27.65,57.46,83561
1537,43.04,41.67,15813
1538,70.77,14.58,7604
1539,60.51,31.01,5252
1540,23.21,56.21,41184
1541,79.46,11.18,2426
1553,0.00,99.96,30
1557,0.00,69.39,113
1558,16.89,44.08,27407
1560,48.91,20.32,22319
1563,36.50,36.09,15382
1565,8.40,69.22,37622
1568,56.15,26.85,9634
1569,46.68,31.71,24006
1570,44.49,30.53,34872
1571,0.00,7.29,9
1573,0.00,13.92,17
1575,0.00,99.99,9
1577,0.00,99.99,19
1580,29.88,52.36,27741
1582,25.75,58.18,66430
1583,89.51,6.83,2501
1584,36.55,47.87,56060
1585,46.04,17.55,934
1586,61.39,19.85,11954
1587,37.91,41.85,11810
1589,21.00,57.93,43146
1590,52.95,10.65,6941
1591,8.04,60.50,32319
1592,18.10,55.84,6278
1593,35.43,35.98,3305
1594,75.40,10.20,641
1595,36.30,35.38,9634
1597,36.92,40.69,20153
1598,52.73,29.25,10594
1599,56.89,27.60,11781
1601,6.33,67.68,16634
1602,9.57,82.34,273745
1603,68.94,21.85,13462
1604,52.93,32.23,101709
1605,72.70,20.56,250051
1606,9.56,67.71,77417
1608,63.22,28.37,48946
1609,28.94,59.33,195681
1611,43.26,39.94,87235
1612,55.30,31.78,37361
1613,47.38,29.44,22764
1614,75.52,7.84,5406
1615,76.81,14.71,8687
1616,56.62,32.71,14610
1617,69.13,18.70,11749
1618,53.43,35.99,22037
1623,73.47,17.75,5851
1626,60.15,18.65,9837
1702,54.96,36.61,63889
1707,40.57,38.40,68795
1708,34.90,53.53,85619
1709,62.12,20.55,42213
1710,57.28,28.97,59122
1711,39.50,46.51,97587
1712,47.59,32.54,82425
1713,68.48,16.52,23520
1714,46.68,37.53,107030
1717,60.73,26.66,100073
1718,47.87,38.59,189078
1720,61.49,28.08,16055
1721,32.69,52.20,67213
1722,57.62,27.89,122743
1723,46.48,41.32,62672
1725,93.10,4.44,3578
1726,83.56,10.94,9492
1727,62.27,24.66,16013
1729,85.84,6.78,4207
1730,53.73,38.68,10040
1731,51.75,34.06,18394
1732,44.13,45.58,37986
1733,31.90,43.89,38247
1734,41.70,37.60,70332
1735,77.83,17.43,8339
1736,83.20,7.16,7797
1737,58.24,30.77,74650
1742,72.73,11.04,11280
1748,36.48,48.25,709
1748R,0.00,76.90,105
1752,58.31,29.20,8114
1760,33.89,45.50,38950
1762,36.10,43.28,53870
1763,100.00,0.00,1
1764,100.00,0.00,1
1765,100.00,0.00,1
1766,100.00,0.00,1
1773,67.99,19.00,17224
1775,100.00,0.00,1
1776,44.14,22.76,3217
1777,54.22,31.76,3341
1780,63.22,14.35,2569
1781,23.54,44.56,35672
1783,56.10,25.28,38042
1784,18.13,51.15,34500
1785,36.61,49.06,133460
1786,44.51,37.19,44813
1788,40.09,37.20,7736
1789,74.49,16.45,24612
1794,0.00,62.59,131
1795,52.25,37.55,41039
1796,45.18,26.60,7585
1799,64.07,24.98,18862
1802,74.37,21.08,200969
1805,70.40,12.63,9236
1806,70.90,20.59,24571
1807,38.24,38.06,7549
1808,78.61,14.88,27616
1809,43.63,46.50,53386
1810,56.47,31.92,24207
1813,33.67,38.75,9029
1814,53.70,10.41,451
1815,48.41,41.81,151500
1816,91.94,3.57,900
1817,58.35,22.96,4470
1818,63.87,8.26,135
1819,65.69,4.19,136
1903,74.90,10.94,20895
1904,64.03,24.76,323008
1905,68.97,24.95,70988
1906,70.09,19.56,12481
1907,82.24,10.07,81715
1907A,0.00,99.99,35
1909,63.71,23.49,84365
1918,17.85,66.30,30813
2002,49.13,37.62,1314855
2002A,8.37,63.02,5349
2006,75.30,13.41,58426
2007,75.66,19.17,27447
2008,91.27,4.96,7472
2009,56.17,37.71,47370
2010,65.06,23.09,34609
2012,74.58,10.52,44578
2013,77.34,17.56,43778
2014,47.83,42.19,172955
2015,82.15,6.09,11652
2017,57.01,29.94,40851
2020,44.60,39.95,59700
2022,37.13,47.95,62213
2023,77.61,16.90,101159
2024,80.78,13.22,50354
2025,59.38,27.09,30207
2027,73.69,16.62,105183
2028,81.30,12.96,21297
2029,67.78,21.80,14154
2030,48.61,36.38,55001
2031,53.89,32.47,65214
2032,49.74,33.50,12050
2033,77.40,10.50,4766
2034,44.57,38.47,37890
2035,96.12,2.58,20724
2038,49.52,38.54,26207
2049,59.82,21.88,65949
2052R,0.00,81.82,5549
2056,85.71,2.63,254
2058,18.55,53.39,37084
2059,54.62,18.64,50749
2060,87.22,5.25,135
2061,30.74,36.99,11479
2062,55.43,29.39,11487
2063,37.50,30.48,3381
2064,72.44,8.95,1624
2065,43.80,40.81,49507
2066,53.56,25.56,3089
2067,49.07,30.99,2223
2068,100.00,0.00,1
2069,54.19,26.43,9151
2070,47.35,31.48,5243
2071,73.66,9.34,906
2072,71.39,18.02,10318
2073,51.62,10.33,642
2101,58.33,24.64,37229
2102,76.87,13.11,79342
2103,54.98,30.00,81702
2104,38.37,38.88,107339
2105,77.31,15.23,81742
2106,74.66,14.86,33213
2107,58.92,27.78,47885
2108,65.18,23.56,53044
2109,66.68,16.58,35143
2113,0.00,99.97,14
2114,59.28,23.80,5286
2115,58.78,18.32,3593
2201,60.00,28.92,95082
2204,70.63,21.78,42462
2206,81.62,10.88,67705
2207,83.30,4.68,13315
2208,50.09,35.58,122679
2211,77.20,15.35,24931
2221,64.24,28.06,6528
2226,100.00,0.00,1
2227,93.25,5.77,7451
2228,53.88,34.67,9701
2229,0.00,28.14,59
2230,34.01,37.62,11667
2231,61.00,27.43,13629
2233,34.33,45.48,38516
2235,76.08,15.33,1360
2236,66.70,16.80,3241
2237,70.63,13.90,3284
2239,78.22,12.60,2720
2241,29.76,38.45,29478
2243,53.80,19.43,2791
2245,66.91,11.44,502
2246,65.07,22.51,2884
2247,72.70,18.17,7917
2248,67.58,13.00,933
2249,54.22,21.32,1324
2250,48.97,41.53,9445
2252,76.08,10.69,1714
2254,87.07,3.77,2745
2255,71.25,13.29,1934
2256,42.55,26.27,2485
2258,92.84,4.11,8952
2301,74.91,14.77,191257
2302,56.69,32.69,24756
2303,72.86,20.75,941247
2305,63.30,26.71,23517
2308,73.56,12.89,608092
2312,44.22,44.39,199747
2313,53.47,36.60,293956
2314,5.51,77.32,52994
2316,56.43,30.24,61155
2317,66.85,25.74,1135066
2318,22.81,58.69,28527
2321,67.91,27.12,14103
2323,39.33,41.17,127236
2324,59.16,31.19,322386
2326,6.52,72.78,48267
2327,63.34,26.70,603686
2328,37.85,50.93,117626
2329,46.80,43.34,128386
2330,84.77,9.87,3020649
2331,54.47,34.36,56365
2332,28.06,52.96,104688
2333,20.38,59.33,87636
2335,25.39,48.36,6028
2337,35.74,51.94,492473
2338,40.15,48.87,86930
2340,33.73,52.03,109286
2341,86.94,11.14,23850
2342,35.55,53.32,140433
2344,64.30,27.62,580631
2345,56.42,15.59,105332
2347,85.03,8.03,40082
2348,65.26,25.30,25177
2348A,55.71,23.19,2628
2349,21.56,58.36,143139
2351,67.96,16.55,20136
2352,43.53,42.34,192342
2353,33.86,52.46,389277
2354,46.89,44.58,184729
2355,33.61,50.21,76032
2356,70.51,22.63,246937
2357,65.13,17.13,112342
2358,24.25,61.58,39726
2359,38.95,48.36,64136
2360,52.66,13.45,30899
2361,47.24,37.87,19313
2362,77.03,14.89,31134
2363,31.47,56.49,130312
2364,51.35,36.40,56026
2364A,0.00,99.99,4
2365,19.75,70.24,98343
2367,25.49,64.95,188824
2368,68.91,14.54,106434
2369,24.58,63.73,128699
2371,43.98,42.37,267471
2373,86.24,10.87,14126
2374,21.32,66.62,104776
2375,15.20,69.36,77537
2376,66.03,20.50,91623
2377,61.61,26.28,97208
2378,26.97,50.17,17777
2379,59.03,13.58,84792
2380,32.78,53.56,23568
2381,0.00,99.98,2565
2382,81.66,11.92,276737
2383,55.74,18.00,127162
2384,20.93,56.05,157964
2385,68.40,19.87,51571
2387,52.59,33.69,16878
2388,67.81,24.39,54596
2390,33.91,52.36,62170
2392,45.69,43.07,66064
2393,59.27,25.55,51337
2395,77.26,7.31,34751
2396,37.15,38.13,56588
2397,65.46,25.48,9142
2398,32.80,51.13,38402
2399,24.37,58.48,53774
2401,35.73,48.38,131070
2402,33.36,54.23,82508
2404,40.82,30.47,64528
2405,19.44,63.52,96825
2406,16.92,67.36,117292
2407,27.91,43.88,48641
2408,81.00,12.87,346436
2409,51.70,34.92,581955
2410,23.71,40.98,12539
2412,77.99,17.44,297048
2413,50.78,38.33,27210
2414,49.75,30.12,15662
2415,58.53,30.68,8807
2417,39.63,50.85,61506
2418,42.17,40.42,64440
2419,62.97,30.53,37884
2420,39.30,43.28,39126
2421,52.32,24.75,53748
2423,69.55,15.25,6164
2424,79.18,16.93,4329
2425,38.92,44.85,44029
2426,40.76,45.27,110699
2427,49.83,39.05,21774
2428,52.54,29.78,19376
2429,42.61,46.64,27484
2430,57.03,28.95,37910
2431,36.00,48.17,51473
2432,72.93,12.57,1258
2433,77.79,17.87,7840
2434,74.38,19.14,5913
2435,28.75,57.01,8964
2436,18.03,64.67,75941
2438,49.42,30.36,26476
2439,21.82,60.61,71562
2440,67.57,22.84,8605
2441,64.42,25.06,58064
2442,48.76,34.62,49900
2443,45.97,33.36,30670
2444,21.87,53.77,36425
2445,12.45,71.20,6213
2449,58.92,28.75,244713
2450,75.97,20.24,17503
2451,65.47,21.70,44946
2453,41.48,45.66,25423
2454,63.85,14.79,532871
2455,38.49,29.98,64789
2457,24.93,61.20,112125
2458,48.08,34.62,63863
2459,41.95,33.11,15057
2460,53.78,31.72,44471
2461,36.57,37.84,49973
2462,50.29,33.95,26033
2464,39.90,43.22,88136
2465,32.32,49.34,48632
2466,80.89,9.38,5386
2467,59.48,23.14,48127
2468,50.02,43.28,11535
2471,6.74,64.33,36717
2472,46.42,37.80,38375
2474,68.39,22.28,51061
2475,64.60,19.42,226549
2476,60.67,23.94,18825
2477,66.99,20.87,11701
2478,46.84,33.50,58711
2479,25.73,58.09,13052
2480,18.21,53.27,41805
2481,51.86,36.31,100282
2482,35.02,52.95,38582
2483,56.27,27.96,9301
2484,16.62,69.88,88701
2485,20.75,70.53,136309
2486,29.11,52.37,90911
2488,44.68,34.27,40651
2489,25.80,63.19,133997
2490,15.55,60.97,15413
2491,67.25,19.79,13399
2492,58.83,32.79,122823
2493,39.27,41.41,46611
2494,73.06,16.00,10286
2495,46.37,41.40,38109
2496,34.97,38.07,4233
2497,57.58,27.24,11945
2498,33.46,51.59,164924
2499,37.98,41.54,47821
2501,72.02,16.91,44410
2504,70.07,18.00,89925
2505,75.30,14.59,23776
2506,72.20,16.63,65344
2509,63.89,21.47,16364
2511,75.38,12.18,45913
2512,25.06,46.12,43903
2514,85.08,7.85,17682
2515,53.13,28.21,141612
2516,65.72,17.87,48952
2520,71.30,18.86,76442
2521,25.85,48.63,25288
2523,36.05,38.23,14031
2524,91.61,5.05,7575
2525,20.38,48.10,52517
2527,76.56,12.01,7354
2528,79.01,9.75,8330
2530,82.05,8.16,30888
2533,26.18,47.34,14039
2534,66.23,19.02,63108
2535,54.91,30.16,63394
2536,69.77,12.74,8362
2537,53.04,28.74,43271
2538,65.75,16.27,28693
2539,85.08,8.21,21256
2540,89.27,6.26,17339
2542,61.11,28.38,110617
2543,67.48,22.51,32110
2545,73.90,18.13,16397
2546,59.26,28.37,53687
2547,64.12,19.81,74395
2548,39.12,38.70,40818
2553,11.19,69.40,19283
2566,0.00,88.20,325
2569,74.73,8.16,61
2572,57.57,6.11,14
2591,0.00,85.92,80
2592,82.10,3.09,57
2596,61.72,16.84,3230
2597,78.07,12.86,12942
2599,51.87,13.62,1377
2601,26.17,55.99,106567
2603,70.47,19.78,268257
2605,49.41,36.19,104834
2606,75.17,16.80,45378
2607,71.63,15.74,38825
2608,71.31,18.84,51866
2609,60.33,33.14,352216
2610,70.24,21.78,242550
2611,44.15,44.15,50522
2612,71.83,19.31,36509
2613,49.61,35.78,40005
2614,41.16,44.21,100717
2615,86.75,8.02,91630
2616,41.00,47.19,213475
2617,60.25,27.56,27508
2618,79.72,13.27,193315
2622,0.00,99.97,11
2626,0.00,91.46,296
2630,61.69,32.42,23325
2633,85.14,10.46,104758
2634,46.47,44.28,116267
2636,37.78,46.89,55208
2637,78.69,10.10,23222
2639,99.01,0.82,1106
2640,58.17,14.17,3455
2641,22.76,58.55,80079
2642,60.38,37.70,19530
2643,58.79,31.42,4270
2644,74.84,12.95,2503
2645,78.25,15.12,31041
2646,63.60,30.27,241334
2701,84.79,9.39,14720
2702,72.55,20.88,12326
2704,83.75,6.68,30459
